model,category,strategy,n_total,n_good,n_defective,accuracy,balanced_accuracy,precision,recall,f1,auroc,confusion_matrix,prompt_good,prompt_defective
clip,toothbrush,visual_primitive,42,12,30,0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,0.775,"[[0, 12], [0, 30]]",a photo of a toothbrush with uniform straight bristles,a photo of a toothbrush with damaged or irregular bristles
clip,toothbrush,category_specific,42,12,30,0.4047619047619047,0.5833333333333334,1.0,0.1666666666666666,0.2857142857142857,0.8583333333333334,"[[12, 0], [25, 5]]",a close-up photo of a toothbrush head with evenly distributed vertical bristles,"a close-up photo of a toothbrush head with bent bristles, missing bristles, or foreign contamination between bristles"
clip,transistor,naive,100,60,40,0.4,0.5,0.4,1.0,0.5714285714285714,0.5650000000000002,"[[0, 60], [0, 40]]",a photo of a good transistor,a photo of a defective transistor
clip,transistor,visual_primitive,100,60,40,0.43,0.5041666666666667,0.4022988505747126,0.875,0.5511811023622047,0.6566666666666667,"[[8, 52], [5, 35]]",a photo of a transistor with correctly positioned pins and intact body,"a photo of a transistor with misplaced pins, bent leads, or damaged body"
clip,transistor,category_specific,100,60,40,0.7,0.6416666666666666,0.7777777777777778,0.35,0.4827586206896552,0.7220833333333333,"[[56, 4], [26, 14]]",a photo of an electronic transistor mounted on a circuit board with three straight parallel metal leads,"a photo of an electronic transistor with bent leads, cut leads, damaged case, or misplaced position on the board"
clip,wood,naive,79,19,60,0.9113924050632912,0.887719298245614,0.9491525423728814,0.9333333333333332,0.9411764705882352,0.9561403508771932,"[[16, 3], [4, 56]]",a photo of a good wood,a photo of a defective wood
clip,wood,visual_primitive,79,19,60,0.4430379746835443,0.6333333333333333,1.0,0.2666666666666666,0.4210526315789473,0.987719298245614,"[[19, 0], [44, 16]]",a photo of a wood surface with uniform natural grain,"a photo of a wood surface with damage, marks, or contamination"
clip,wood,category_specific,79,19,60,0.6582278481012658,0.775,1.0,0.55,0.7096774193548387,0.962280701754386,"[[19, 0], [27, 33]]",a close-up photo of a wooden surface with consistent brown grain pattern,"a close-up photo of a wooden surface with color stains, scratches, cracks, holes, or liquid marks"
clip,zipper,naive,151,32,119,0.6423841059602649,0.6588760504201681,0.8823529411764706,0.6302521008403361,0.7352941176470589,0.6704306722689076,"[[22, 10], [44, 75]]",a photo of a good zipper,a photo of a defective zipper
clip,zipper,visual_primitive,151,32,119,0.2119205298013245,0.5,0.0,0.0,0.0,0.5853466386554622,"[[32, 0], [119, 0]]",a photo of a zipper with intact interlocking teeth,"a photo of a zipper with broken, misaligned, or damaged teeth"
clip,zipper,category_specific,151,32,119,0.2119205298013245,0.5,0.0,0.0,0.0,0.7190126050420168,"[[32, 0], [119, 0]]",a close-up photo of a black zipper with symmetric rows of intact metal teeth interlocking properly,"a close-up photo of a zipper with broken teeth, missing teeth, split fabric, rough edges, or squeezed teeth"
siglip,bottle,naive,83,20,63,0.7469879518072289,0.49206349206349204,0.7560975609756098,0.9841269841269841,0.8551724137931035,0.8380952380952382,"[[0, 20], [1, 62]]",a photo of a good bottle,a photo of a defective bottle
siglip,bottle,visual_primitive,83,20,63,0.7469879518072289,0.8333333333333333,1.0,0.6666666666666666,0.8,0.842063492063492,"[[20, 0], [21, 42]]",a photo of a bottle with a smooth continuous surface,a photo of a bottle with a broken or interrupted surface
siglip,bottle,category_specific,83,20,63,0.24096385542168675,0.5,0.0,0.0,0.0,0.5928571428571429,"[[20, 0], [63, 0]]",a top-down photo of a glass bottle showing a complete unbroken brown ring,"a top-down photo of a glass bottle with a chipped edge, broken rim, or foreign contamination inside"
siglip,cable,naive,150,58,92,0.54,0.4975637181409296,0.6116504854368932,0.6847826086956522,0.6461538461538462,0.5569715142428786,"[[18, 40], [29, 63]]",a photo of a good cable,a photo of a defective cable
siglip,cable,visual_primitive,150,58,92,0.38666666666666666,0.5,0.0,0.0,0.0,0.5777736131934033,"[[58, 0], [92, 0]]",a photo of a cable with intact continuous structure,"a photo of a cable with broken, missing, or damaged structure"
siglip,cable,category_specific,150,58,92,0.38666666666666666,0.5,0.0,0.0,0.0,0.4754497751124438,"[[58, 0], [92, 0]]",a cross-section photo of an electrical cable with three distinct colored wires inside intact insulation,"a cross-section photo of an electrical cable with cut insulation, missing wires, swapped wire positions, or bent conductors"
siglip,capsule,naive,132,23,109,0.17424242424242425,0.5,0.0,0.0,0.0,0.7475069804547269,"[[23, 0], [109, 0]]",a photo of a good capsule,a photo of a defective capsule
siglip,capsule,visual_primitive,132,23,109,0.1893939393939394,0.5091743119266054,1.0,0.01834862385321101,0.036036036036036036,0.7686477861986438,"[[23, 0], [107, 2]]",a photo of a capsule with uniform smooth surface and clear printing,"a photo of a capsule with cracks, dents, or damaged printing"
siglip,capsule,category_specific,132,23,109,0.1893939393939394,0.5091743119266054,1.0,0.01834862385321101,0.036036036036036036,0.7578779417630636,"[[23, 0], [107, 2]]",a photo of a pharmaceutical capsule with intact shape and clearly printed text,"a photo of a pharmaceutical capsule with cracks, scratches, holes, deformed shape, or faded print"
siglip,carpet,naive,117,28,89,0.358974358974359,0.5786516853932584,1.0,0.15730337078651685,0.27184466019417475,0.9979935794542536,"[[28, 0], [75, 14]]",a photo of a good carpet,a photo of a defective carpet
siglip,carpet,visual_primitive,117,28,89,0.7606837606837606,0.5,0.7606837606837606,1.0,0.8640776699029126,0.9085072231139646,"[[0, 28], [0, 89]]",a photo of a carpet with uniform undisturbed pattern,a photo of a carpet with disturbed or interrupted pattern
siglip,carpet,category_specific,117,28,89,0.2564102564102564,0.5112359550561798,1.0,0.02247191011235955,0.04395604395604396,0.9763242375601926,"[[28, 0], [87, 2]]",a close-up photo of woven carpet fabric with a consistent regular texture,"a close-up photo of woven carpet fabric with cuts, holes, thread pulls, color stains, or metal contamination"
siglip,grid,naive,78,21,57,0.7435897435897436,0.5238095238095238,0.7402597402597403,1.0,0.8507462686567164,0.9782790309106099,"[[1, 20], [0, 57]]",a photo of a good grid,a photo of a defective grid
siglip,grid,visual_primitive,78,21,57,0.358974358974359,0.5614035087719298,1.0,0.12280701754385964,0.21875,0.987468671679198,"[[21, 0], [50, 7]]",a photo of a metal grid with regular uniform mesh pattern,a photo of a metal grid with broken or disturbed mesh pattern
siglip,grid,category_specific,78,21,57,0.2692307692307692,0.5,0.0,0.0,0.0,0.9807852965747703,"[[21, 0], [57, 0]]",a top-down photo of a metallic wire grid with evenly spaced regular cells,"a top-down photo of a metallic wire grid with bent wires, broken cells, thread contamination, or metal debris"
siglip,hazelnut,naive,110,40,70,0.8181818181818182,0.8142857142857143,0.8787878787878788,0.8285714285714286,0.8529411764705882,0.8346428571428572,"[[32, 8], [12, 58]]",a photo of a good hazelnut,a photo of a defective hazelnut
siglip,hazelnut,visual_primitive,110,40,70,0.6727272727272727,0.7375,0.9722222222222222,0.5,0.660377358490566,0.8146428571428573,"[[39, 1], [35, 35]]",a photo of a hazelnut with uniform continuous surface color,"a photo of a hazelnut with color contrast, marks, or surface damage"
siglip,hazelnut,category_specific,110,40,70,0.8181818181818182,0.7821428571428571,0.8205128205128205,0.9142857142857143,0.8648648648648649,0.8949999999999999,"[[26, 14], [6, 64]]",a photo of an intact whole hazelnut with uniform brown shell,"a photo of a hazelnut with cracks, cut marks, dark holes, or printed contamination on the shell"
siglip,leather,naive,124,32,92,0.7903225806451613,0.8586956521739131,1.0,0.717391304347826,0.8354430379746836,0.9887907608695651,"[[32, 0], [26, 66]]",a photo of a good leather,a photo of a defective leather
siglip,leather,visual_primitive,124,32,92,0.6612903225806451,0.44565217391304346,0.7192982456140351,0.8913043478260869,0.7961165048543689,0.06691576086956522,"[[0, 32], [10, 82]]",a photo of leather with uniform undisturbed surface,"a photo of leather with color contrast, marks, or foreign material"
siglip,leather,category_specific,124,32,92,0.25806451612903225,0.5,0.0,0.0,0.0,1.0,"[[32, 0], [92, 0]]",a close-up photo of tan-colored leather with consistent grain texture,"a close-up photo of leather with color patches, cuts, folds, poked holes, or visible glue drops"
siglip,metal_nut,naive,115,22,93,0.7391304347826086,0.6999022482893451,0.8987341772151899,0.7634408602150538,0.8255813953488372,0.8049853372434017,"[[14, 8], [22, 71]]",a photo of a good metal nut,a photo of a defective metal nut
siglip,metal_nut,visual_primitive,115,22,93,0.808695652173913,0.5,0.808695652173913,1.0,0.8942307692307693,0.5254154447702835,"[[0, 22], [0, 93]]",a photo of a metal nut with uniform shape and color,a photo of a metal nut with shape distortion or color anomalies
siglip,metal_nut,category_specific,115,22,93,0.808695652173913,0.5,0.808695652173913,1.0,0.8942307692307693,0.47947214076246336,"[[0, 22], [0, 93]]",a top-down photo of a hexagonal metal nut with symmetric shape and uniform metallic finish,"a top-down photo of a metal nut that is bent, flipped upside down, color-stained, or has scratched surface"
siglip,pill,naive,167,26,141,0.8383233532934131,0.49645390070921985,0.8433734939759037,0.9929078014184397,0.9120521172638436,0.6882160392798691,"[[0, 26], [1, 140]]",a photo of a good pill,a photo of a defective pill
siglip,pill,visual_primitive,167,26,141,0.8383233532934131,0.49645390070921985,0.8433734939759037,0.9929078014184397,0.9120521172638436,0.4462629569012547,"[[0, 26], [1, 140]]",a photo of a pill with uniform surface and consistent shape,"a photo of a pill with surface damage, discoloration, or shape defects"
siglip,pill,category_specific,167,26,141,0.844311377245509,0.5,0.844311377245509,1.0,0.9155844155844156,0.5589198036006546,"[[0, 26], [0, 141]]",a photo of a round white pharmaceutical pill with clean surface and clear imprint,"a photo of a pharmaceutical pill with cracks, chips, color spots, scratches, contamination, or faded imprint"
siglip,screw,naive,160,41,119,0.25625,0.5,0.0,0.0,0.0,0.8112318097970895,"[[41, 0], [119, 0]]",a photo of a good screw,a photo of a defective screw
siglip,screw,visual_primitive,160,41,119,0.26875,0.5084033613445378,1.0,0.01680672268907563,0.03305785123966942,0.829678212748514,"[[41, 0], [117, 2]]",a photo of a screw with intact thread and clean surface,a photo of a screw with damaged thread or surface anomalies
siglip,screw,category_specific,160,41,119,0.51875,0.6684771469563435,0.9772727272727273,0.36134453781512604,0.5276073619631901,0.8762041401926625,"[[40, 1], [76, 43]]",a photo of a metal screw with a sharp intact tip and clean uniform thread,"a photo of a metal screw with a broken or manipulated tip, damaged thread, scratched head, or bent shaft"
siglip,tile,naive,117,33,84,0.9829059829059829,0.9880952380952381,1.0,0.9761904761904762,0.9879518072289156,0.9931457431457432,"[[33, 0], [2, 82]]",a photo of a good tile,a photo of a defective tile
siglip,tile,visual_primitive,117,33,84,0.6068376068376068,0.7261904761904762,1.0,0.4523809523809524,0.6229508196721312,0.9343434343434344,"[[33, 0], [46, 38]]",a photo of a tile with uniform undisturbed surface pattern,"a photo of a tile with cracks, contamination, or surface anomalies"
siglip,tile,category_specific,117,33,84,0.2905982905982906,0.5059523809523809,1.0,0.011904761904761904,0.023529411764705882,0.965007215007215,"[[33, 0], [83, 1]]",a top-down photo of a ceramic tile with consistent surface pattern and clean edges,"a top-down photo of a ceramic tile with cracks, glue strips, rough surface, oil stains, or gray contamination"
siglip,toothbrush,naive,42,12,30,0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,0.5777777777777778,"[[0, 12], [0, 30]]",a photo of a good toothbrush,a photo of a defective toothbrush
siglip,toothbrush,visual_primitive,42,12,30,0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,0.6277777777777778,"[[0, 12], [0, 30]]",a photo of a toothbrush with uniform straight bristles,a photo of a toothbrush with damaged or irregular bristles
siglip,toothbrush,category_specific,42,12,30,0.30952380952380953,0.5166666666666667,1.0,0.03333333333333333,0.06451612903225806,0.7499999999999999,"[[12, 0], [29, 1]]",a close-up photo of a toothbrush head with evenly distributed vertical bristles,"a close-up photo of a toothbrush head with bent bristles, missing bristles, or foreign contamination between bristles"
siglip,transistor,naive,100,60,40,0.51,0.5708333333333333,0.4430379746835443,0.875,0.5882352941176471,0.5362500000000001,"[[16, 44], [5, 35]]",a photo of a good transistor,a photo of a defective transistor
siglip,transistor,visual_primitive,100,60,40,0.65,0.5666666666666667,0.8571428571428571,0.15,0.2553191489361702,0.7312500000000001,"[[59, 1], [34, 6]]",a photo of a transistor with correctly positioned pins and intact body,"a photo of a transistor with misplaced pins, bent leads, or damaged body"
siglip,transistor,category_specific,100,60,40,0.4,0.5,0.4,1.0,0.5714285714285714,0.5408333333333334,"[[0, 60], [0, 40]]",a photo of an electronic transistor mounted on a circuit board with three straight parallel metal leads,"a photo of an electronic transistor with bent leads, cut leads, damaged case, or misplaced position on the board"
siglip,wood,naive,79,19,60,0.7974683544303798,0.8666666666666667,1.0,0.7333333333333333,0.8461538461538461,0.9780701754385965,"[[19, 0], [16, 44]]",a photo of a good wood,a photo of a defective wood
siglip,wood,visual_primitive,79,19,60,0.6455696202531646,0.7666666666666666,1.0,0.5333333333333333,0.6956521739130435,0.9675438596491228,"[[19, 0], [28, 32]]",a photo of a wood surface with uniform natural grain,"a photo of a wood surface with damage, marks, or contamination"
siglip,wood,category_specific,79,19,60,0.26582278481012656,0.5166666666666667,1.0,0.03333333333333333,0.06451612903225806,0.8999999999999999,"[[19, 0], [58, 2]]",a close-up photo of a wooden surface with consistent brown grain pattern,"a close-up photo of a wooden surface with color stains, scratches, cracks, holes, or liquid marks"
siglip,zipper,naive,151,32,119,0.4966887417218543,0.680672268907563,1.0,0.36134453781512604,0.5308641975308642,0.9133403361344539,"[[32, 0], [76, 43]]",a photo of a good zipper,a photo of a defective zipper
siglip,zipper,visual_primitive,151,32,119,0.2119205298013245,0.5,0.0,0.0,0.0,0.8209033613445378,"[[32, 0], [119, 0]]",a photo of a zipper with intact interlocking teeth,"a photo of a zipper with broken, misaligned, or damaged teeth"
siglip,zipper,category_specific,151,32,119,0.2119205298013245,0.5,0.0,0.0,0.0,0.8797268907563025,"[[32, 0], [119, 0]]",a close-up photo of a black zipper with symmetric rows of intact metal teeth interlocking properly,"a close-up photo of a zipper with broken teeth, missing teeth, split fabric, rough edges, or squeezed teeth"
